0,0,6
1,9,6
2,18,6
3,27,6
4,36,6
5,45,6
6,54,6
7,63,6
8,72,6
9,81,6
10,90,6
11,99,6
12,108,6
13,117,6
14,126,6
15,135,6
16,144,6
17,153,6
18,162,6
19,171,6
20,180,6
21,189,6
22,198,6
23,207,6
24,216,6
25,225,6
26,234,6
27,243,6
28,252,6
29,261,6
30,270,6
31,279,6
32,288,6
33,297,6
34,306,6
35,315,6
36,324,6
37,333,6
38,342,6
39,351,6
40,360,6
41,369,6
42,378,6
43,387,6
44,396,6
45,405,6
46,414,6
47,423,6
48,432,6
49,441,6
50,450,6
51,459,6
52,468,6
53,477,6
54,486,6
55,495,6
56,504,6
57,513,6
58,522,6
59,531,6
60,540,6
61,549,6
62,558,6
63,567,6
64,576,6
65,585,6
66,594,6
67,603,6
68,612,6
69,621,6
70,630,6
71,639,6
72,648,6
73,657,6
74,666,6
75,675,6
76,684,6
77,693,6
78,702,6
79,711,6
80,720,6
81,729,6
82,738,6
83,747,6
84,756,6
85,765,6
86,774,6
87,783,6
88,792,6
89,796,6
90,790,6
91,784,6
92,778,6
93,772,6
94,766,6
95,760,6
96,754,6
97,748,6
98,742,6
99,736,6
100,730,6
101,724,6
102,718,6
103,712,6
104,706,6
105,700,6
106,694,6
107,688,6
108,682,6
109,676,6
110,670,6
111,664,6
112,658,6
113,652,6
114,646,6
115,640,6
116,634,6
117,628,6
118,622,6
119,616,6
120,610,6
121,604,6
122,598,6
123,592,6
124,586,6
125,580,6
126,574,6
127,568,6
128,562,6
129,556,6
130,550,6
131,544,6
132,538,6
133,532,6
134,526,6
135,520,6
136,514,6
137,508,6
138,502,6
139,496,6
140,490,6
141,484,6
142,478,6
143,472,6
144,466,6
145,460,6
146,454,6
147,448,6
148,442,6
149,436,6
150,430,6
151,424,6
152,418,6
153,412,6
154,406,6
155,400,6
156,394,6
157,388,6
158,382,6
159,376,6
160,370,6
161,364,6
162,358,6
163,352,6
164,346,6
165,340,6
166,334,6
167,328,6
168,322,6
169,316,6
170,310,6
171,304,6
172,298,6
173,292,6
174,286,6
175,280,6
176,274,6
177,268,6
178,262,6
179,256,6
180,250,6
181,244,6
182,238,6
183,232,6
184,226,6
185,220,6
186,214,6
187,208,6
188,202,6
189,196,6
190,190,6
191,184,6
192,178,6
